Database:Annual by Province
Indicators:Birth Rate(?)
Year:LATEST10
Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Beijing,,6.09,5.63,5.67,6.35,6.99,8.12,8.24,9.06,9.32
Tianjin,,4.99,4.47,4.75,5.30,5.99,6.73,6.67,7.65,7.37
Hebei,,5.90,5.54,6.09,7.15,8.16,10.83,11.26,13.20,12.42
Shanxi,,6.94,6.13,6.75,7.06,8.26,9.12,9.63,11.06,10.29
Inner Mongolia,,5.52,5.00,5.58,6.26,7.20,8.23,8.35,9.47,9.03
Liaoning,,4.32,4.06,4.08,4.71,5.16,6.45,6.39,6.49,6.60
Jilin,,4.17,3.76,4.32,4.70,4.84,6.05,6.62,6.76,5.55
Heilongjiang,,3.35,2.92,3.34,3.59,3.75,5.73,5.98,6.22,6.12
Shanghai,,4.75,3.95,4.35,4.67,5.02,7.00,7.20,8.10,9.00
Jiangsu,,4.98,4.81,5.23,5.65,6.65,9.12,9.32,9.71,9.76
Zhejiang,,6.17,5.80,6.28,6.90,7.13,10.51,11.02,11.92,11.22
Anhui,,6.17,6.45,7.16,8.05,9.45,12.03,12.41,14.07,13.02
Fujian,,6.95,6.81,7.07,8.26,9.21,12.90,13.20,15.00,14.50
Jiangxi,,6.65,6.52,7.19,8.34,9.48,12.59,13.43,13.79,13.45
Shandong,,6.42,6.01,6.71,7.38,8.56,11.77,13.26,17.54,17.89
Henan,,7.78,7.06,7.42,8.00,9.24,11.02,11.72,12.95,13.26
Hubei,,5.38,5.48,6.08,6.98,8.28,11.35,11.54,12.60,12.04
Hunan,,5.89,6.00,6.23,7.13,8.53,10.39,12.19,13.27,13.57
Guangdong,,8.89,8.12,8.30,9.35,10.28,12.54,12.79,13.68,11.85
Guangxi,,8.37,8.04,8.51,9.68,11.36,13.31,14.12,15.14,13.82
Hainan,,9.37,9.28,8.60,9.74,10.36,12.87,14.48,14.73,14.57
Chongqing,,5.99,5.58,5.98,6.49,7.47,10.48,11.02,11.18,11.77
Sichuan,,6.41,6.32,6.39,6.85,7.60,10.70,11.05,11.26,10.48
Guizhou,,10.74,10.65,11.03,12.17,13.70,13.65,13.90,13.98,13.43
Yunnan,,8.62,8.22,8.14,9.35,10.96,12.63,13.19,13.53,13.16
Tibet,,13.87,13.72,14.24,14.17,13.96,14.60,15.22,16.00,15.79
Shaanxi,,7.36,6.83,7.36,7.89,8.95,10.55,10.67,11.11,10.64
Gansu,,8.00,7.71,8.47,9.68,10.55,10.60,11.07,12.54,12.18
Qinghai,,10.11,9.25,10.60,11.22,11.43,13.66,14.31,14.42,14.70
Ningxia,,10.97,10.02,10.60,11.62,11.59,13.72,13.32,13.44,13.69
Xinjiang,,9.42,7.10,6.53,6.16,6.94,8.14,10.69,15.88,15.34
Data Sources:National Bureau of Statistics
